Spotify ID,Artist IDs,song,Album Name,artist,Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00hTMn8iejxBz4RgwSy9qZ,1KHX0UJ5bs9Hb4hnM7bs4b,Volcanic Energies,Earth Energies - 174 Hz Solfeggio Foundation Frequency,Dreamflute Doroth‚e Fr”ller,17-11-2016,427466,26,spotify:user:1220931509,2019-01-28T03:56:41Z,tone,0.144,0.225,3,-19.76,1,0.0513,0.937,0.965,0.11,0.0278,93.898,3
2fZGPUcZK10t2rr6NRo9kT,2N40EmjIUVBHidajBVs3Px,Ode To The Moon,Ode To The Moon,Joseph Beg,18-01-2019,277703,15,spotify:user:1220931509,2019-02-08T05:16:15Z,background music,0.311,0.254,8,-16.919,0,0.0378,0.828,0.909,0.11,0.0788,105.994,3
4zI7J4c58Br1tY10NDyhlR,1LNciO7hxkWoSQ3V8OWNQF,Scintillans,Yoga Gong Karma,Zibra Inguzu,15-12-2018,220781,43,spotify:user:1220931509,2019-02-21T15:11:18Z,background music,0.191,0.0143,2,-27.967,1,0.0431,0.984,0.919,0.111,0.0621,83.961,4
57Xvgypj0JSo0E5IvnKGgP,"2uvdsw07VR5CuNk9NvQ1kr,4UEGXaYpVtqbZkhFEt0SAJ",El-Hadra,Sacred Planet (From women & man to gods & godnesses),"Klaus Wiese,Ted De Jong",1998,237360,40,spotify:user:1220931509,2019-01-22T12:57:48Z,dark ambient,0.371,0.0587,2,-27.743,0,0.032,0.829,0.89,0.109,0.12,97.594,4
064PtMlAWyw2pMmBBXEZ4V,"5RwWMpyJ7BSBkcXyHaf2aG,3zPbHtIIemwAyZvwS4zqOX",Clair,For Pamela,"Joshua Stoddard,Sirgun Kaur",12-05-2019,222167,0,spotify:user:1220931509,2019-06-14T00:28:58Z,kundalini,0.159,0.0407,0,-23.7,1,0.0397,0.793,0.77,0.101,0.0297,74.813,4
1N2VDiJGy4T7O5bLHOSGV0,14RkTXnwrf6D09TfPWcR5C,Chakra Melodies - New Age Mix Of Flutes & Bowls,"Spa Music: Tibet (80 Minutes of Tibetan Bowls & Flutes for Massage, New Age, Yoga & Relaxation)",Massage Tribe,26-12-2011,207800,36,spotify:user:1220931509,2020-07-07T13:17:17Z,sleep,0.155,0.129,2,-18.689,0,0.0354,0.992,0.736,0.179,0.0675,90.791,3
4J7dUrv6rCvCOsZVPBAFu3,2uvdsw07VR5CuNk9NvQ1kr,Noor,Soma,Klaus Wiese,21-07-2000,411706,12,spotify:user:1220931509,2019-01-22T13:00:33Z,dark ambient,0.16,0.08,8,-23.861,1,0.0338,0.935,0.914,0.132,0.0366,130.847,3
6ZvKdh0TPpt0XjmsZDheMr,605QxttxWtbhs5qpIu4cfv,Journey,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,182826,3,spotify:user:1220931509,2020-11-22T04:19:19Z,tone,0.0642,0.00767,1,-32.331,1,0.0464,0.752,0.862,0.167,0.0293,66.335,4
1DmlpLfYaZNZMZZB2c1qnp,"6Sp2FifnF2ZMmUrLvUuapi,6kDyIwI2psirzHCWyHKDTV",Root Tones,Om Sound Healing Music: Tibetan & Crystal Bowls with Deep Mantras for Yoga,"Dean Evenson,Dudley Evenson",24-06-2016,222253,46,spotify:user:1220931509,2018-04-11T13:19:44Z,"chakra,healing,high vibe,meditation,sleep,guided meditation",0.0705,0.0534,0,-20.957,1,0.0421,0.852,0.978,0.11,0.0288,76.548,4
2celsMOhYXcQh7WQf9YjLq,605QxttxWtbhs5qpIu4cfv,Echoes,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,270213,3,spotify:user:1220931509,2020-11-22T04:19:34Z,tone,0.131,0.00841,1,-32.557,1,0.0406,0.733,0.887,0.115,0.0346,144.55,3
1KoPjPDd5cBjykLirqQDXm,5cOtVuqIJNlcQnFzbF0wu6,Wanting Peace,Sounds of Peace,Nawang Khechog,1996,209226,49,spotify:user:1220931509,2020-10-21T21:59:44Z,"healing,meditation,sleep,tibetan pop",0.176,0.0108,11,-27.059,1,0.0529,0.994,0.827,0.0981,0.0516,117.226,4
0cM8ktbY8skdw4UIVtFsku,605QxttxWtbhs5qpIu4cfv,Earth Vents,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,197400,2,spotify:user:1220931509,2020-11-22T04:19:46Z,tone,0.123,0.0112,1,-32.483,1,0.0383,0.584,0.944,0.112,0.0334,96.164,3
4AIbSZnevrIjwtkdXSYxbn,6c4PFTwVucnE0A6l219i99,Nature Alone,Breathing Space,Sacred Earth,05-01-2012,314080,0,spotify:user:1220931509,2020-09-06T11:50:17Z,"healing,high vibe",0.277,0.168,4,-22.347,0,0.0511,0.966,0.108,0.111,0.24,131.03,4
6WooAt2Fo0HHY3vDNLSYYq,605QxttxWtbhs5qpIu4cfv,Dusk,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,363186,3,spotify:user:1220931509,2020-11-22T04:19:56Z,tone,0.148,0.0339,1,-28.326,1,0.0382,0.14,0.851,0.111,0.0375,78.967,3
1ensg5rbPJUfCjIa7d4CJ2,605QxttxWtbhs5qpIu4cfv,Calling,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,324306,3,spotify:user:1220931509,2020-11-22T04:20:05Z,tone,0.13,0.00147,8,-35.414,1,0.043,0.98,0.853,0.109,0.0313,70.069,3
0SjLt4qCwWVUYcpfapaFdj,5cOtVuqIJNlcQnFzbF0wu6,Finding it Within,Sounds of Peace,Nawang Khechog,1996,483466,18,spotify:user:1220931509,2021-06-17T14:18:08Z,"healing,meditation,sleep,tibetan pop",0.0999,0.0202,11,-25.184,1,0.0455,0.993,0.856,0.0993,0.0397,66.394,4
5DGpK8aIhB0ophVIIP7rsX,605QxttxWtbhs5qpIu4cfv,Home,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,343773,2,spotify:user:1220931509,2020-11-22T04:20:36Z,tone,0.137,0.0197,1,-33.558,1,0.0416,0.000204,0.972,0.121,0.0336,75.15,3
2tIoZaRSfbJhyvFmVLQDB9,6NvMFz8onERoCM6bKjTASJ,Ek Ong Kar,Amrit Vela,Snatam Kaur,31-05-2000,444400,20,spotify:user:1220931509,2021-01-18T12:03:57Z,"healing,kirtan,kundalini",0.2,0.0249,2,-16.931,1,0.0421,0.847,0.266,0.0942,0.0367,62.348,4
6RnMtdaUxM0LQxZhJgvpjd,605QxttxWtbhs5qpIu4cfv,Center,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,282266,3,spotify:user:1220931509,2020-11-22T04:20:14Z,tone,0.0809,0.00258,1,-33.436,1,0.0367,0.944,0.916,0.11,0.0345,65.661,4
7AeuhkUsTjhSYFEYcQ8Ms9,2uvdsw07VR5CuNk9NvQ1kr,The Divine,Soma,Klaus Wiese,21-07-2000,606266,19,spotify:user:1220931509,2019-01-22T12:59:03Z,dark ambient,0.159,0.139,2,-29.643,0,0.0425,0.772,0.951,0.0881,0.232,132.825,5
5ZfQjYCKtLZZR7e5PAFTgM,6c4PFTwVucnE0A6l219i99,Bliss,Breathing Space,Sacred Earth,05-01-2012,445040,8,spotify:user:1220931509,2021-01-29T12:12:49Z,"healing,high vibe",0.23,0.131,4,-20.187,1,0.0365,0.985,0.962,0.102,0.0403,129.91,4
4FaA9kWPdt9boHnMyUojyp,"3ux92I3CgfnhgLyYNsXIwZ,1p23wpFqartJ073GdxqTEk",Kali,Yearning,"Robert Rich,Lisa Moskow",07-02-1995,470000,16,spotify:user:1220931509,2021-03-23T14:07:23Z,"ambient,ambient industrial,drone,fourth world,microtonal",0.244,0.218,5,-18.575,1,0.0336,0.879,0.976,0.16,0.0374,71.198,4
5mXzii9Ap9vo1tvRBOMMdn,2uvdsw07VR5CuNk9NvQ1kr,Hamra,Seed,Klaus Wiese,18-04-2008,124573,31,spotify:user:1220931509,2019-01-22T13:00:54Z,dark ambient,0.0673,0.133,1,-18.689,1,0.0459,0.733,0.858,0.111,0.0334,74.944,4
6bRYGSxCRbssvv8vrUxsvi,"3ux92I3CgfnhgLyYNsXIwZ,1p23wpFqartJ073GdxqTEk",Nada,Yearning,"Robert Rich,Lisa Moskow",07-02-1995,530000,17,spotify:user:1220931509,2021-03-23T14:08:17Z,"ambient,ambient industrial,drone,fourth world,microtonal",0.144,0.16,10,-23.776,0,0.0369,0.961,0.975,0.126,0.0374,67.79,4
4VBzkaTmjfdFGmzLprDLyQ,5cOtVuqIJNlcQnFzbF0wu6,Peace for Humanity,Sounds of Peace,Nawang Khechog,1996,303533,17,spotify:user:1220931509,2021-06-17T14:18:45Z,"healing,meditation,sleep,tibetan pop",0.284,0.0584,7,-23.367,0,0.0499,0.993,0.609,0.091,0.0839,139.492,4
5NplaUuAF5aKX9LSnKQq4S,605QxttxWtbhs5qpIu4cfv,Rolling Hills,Sound Healing Music: Commemorative Collector's Edition,Marjorie de Muynck,01-03-2014,460173,2,spotify:user:1220931509,2020-11-22T04:20:25Z,tone,0.0745,0.00574,1,-32.86,1,0.0453,0.693,0.878,0.112,0.031,59.277,4
6nTF5tnqsSRxK4BjbB1K14,3ohmouyL3xWW70OiC5ATDI,Gift of the Blue Pearl,"Bindu: Music for Yoga, Meditation & Healing",Shaman's Dream,1997,564853,29,spotify:user:1220931509,2022-09-07T19:08:42Z,"healing,high vibe,shamanic,world fusion",0.202,0.018,8,-27.941,1,0.0437,0.893,0.872,0.0958,0.0356,65.498,5
3i58GWhmgQdp1OXq6dOCdA,"4lW9iOGHbM4Ofmy36sYcOH,1bs286UUnvo0aH5N0nmZEX",Still Waters (Pt. 1): Soothing Spa Sounds (feat. Ben Leinbach),Spa Relaxation Music: Soothing Spa Sounds for Serenity,"Spa Relaxation Music,Ben Leinbach",17-12-2012,339280,6,spotify:user:1220931509,2018-04-06T11:21:25Z,"kirtan,meditation",0.334,0.0108,1,-16.369,1,0.0419,0.988,0.859,0.109,0.0357,168.6,4
